row,URL,TLD,label,p_phishing,outcome
130608,https://www.at0.srev.workers.dev,dev,0,2.1108150782822577e-09,phishing_missed
119942,https://www.uknypxl-rqf-3.ml,ml,0,2.1971640951079507e-08,phishing_missed
109878,https://www.appleid-find.cloud,cloud,0,6.388674422819207e-08,phishing_missed
170115,http://www.ftp.afc.https443.org,org,0,1.0821723439580211e-07,phishing_missed
205937,https://www.icy.lud.workers.dev,dev,0,1.2311123220865028e-07,phishing_missed
62131,https://www.serviziofatturazionearuba.com/,com,0,1.3789986141876653e-07,phishing_missed
4084,https://www.ridm.in,in,0,2.032858910094859e-07,phishing_missed
122778,https://www.serviziofatturazionearuba.com,com,0,6.170622339762843e-07,phishing_missed
169056,https://www.wsdownloade.cn,cn,0,8.254357971582138e-07,phishing_missed
54180,https://www.wsdownloads.cn,cn,0,8.254357971582138e-07,phishing_missed
109623,https://www.integr-all.com,com,0,9.53412085946681e-07,phishing_missed
211764,https://www.ibi-global.com,com,0,9.53412085946681e-07,phishing_missed
3362,https://www.netflix-vn.com,com,0,9.53412085946681e-07,phishing_missed
108262,https://www.unitedmartialartscenters.com,com,0,1.0453636026808155e-06,phishing_missed
74850,https://www.thelanguagegallerycanada.com,com,0,1.0453636026808155e-06,phishing_missed
169323,https://www.edenwestreporting.com.au,au,0,1.1788726326233956e-06,phishing_missed
12820,https://www.xn--ingenieurbro-brasnic-yec.de,de,0,1.2547842749288662e-06,phishing_missed
147367,https://www.icloud-mapfind.com,com,0,1.601104817616772e-06,phishing_missed
116916,https://www.amazon5551.com,com,0,1.7817565490796383e-06,phishing_missed
175267,https://www.birfa.tech,tech,0,3.2053448999480594e-06,phishing_missed
7516,https://www.wsec06empresagalicioffice.com,com,0,4.222199437853291e-06,phishing_missed
50509,https://www.tostudydrycleaning.ru,ru,0,4.841355401019598e-06,phishing_missed
197298,https://www.well-sfargoauth.ath.cx,cx,0,6.171836530732833e-06,phishing_missed
31615,https://www.procesosinterwebcancadigitaonlinea.top/,top,0,9.977813607675579e-06,phishing_missed
11268,https://www.dipartimento-revisone.com,com,0,1.1295214223494554e-05,phishing_missed
127312,https://www.dutsh-helppackage.ecranul.ro,ro,0,1.6676017218220096e-05,phishing_missed
48196,https://www.usadaconstructions.studio,studio,0,2.0452752913180383e-05,phishing_missed
88376,https://www.yoga4you.com.au,au,0,4.269393668243637e-05,phishing_missed
25859,https://www.k365v.com,com,0,5.2938159331494816e-05,phishing_missed
33646,https://www.packag.track-servic.karpati.wdsite.hu,hu,0,5.677327093289719e-05,phishing_missed
